dst_port,protocol,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwr_flag_count,ece_flag_cnt,down_up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min,Destination / Websites,AI_Prediction
443.0,17.0,29.175143,166.0,176.0,44186.0,45567.0,1395.0,84.0,266.1807228915663,381.09060822406246,1385.0,88.0,258.90340909090907,363.097558875167,3076.351673751865,11.72230758217706,0.0855576041055718,0.1853054277062772,0.953316,0.0,29.127705,0.1765315454545454,0.2726533495535923,1.000329,0.0,29.148113,0.1665606457142857,0.2893712457384412,1.219057,0.0,0.0,0.0,0.0,0.0,3320.0,3520.0,5.689775025267228,6.032532556909833,84.0,1395.0,262.4356725146199,371.9575373677279,138352.40960466466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0602409638554218,262.4356725146199,266.1807228915663,258.90340909090907,1940.3333333333333,5.083333333333333,16567.15982499319,2271.6666666666665,5.333333333333333,33057.3300930844,166.0,44186.0,176.0,45567.0,0.0,0.0,166.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,VPN-streaming
443.0,17.0,29.286635,138.0,126.0,34614.0,18904.0,1395.0,84.0,250.82608695652172,384.33252723830674,1385.0,88.0,150.03174603174602,177.45506636749218,1827.386451191815,9.014350743948562,0.1113560266159695,0.2291461819668402,0.954094,0.0,29.000817,0.2116847956204379,0.313618343067883,1.001023,0.0,29.239731,0.233917848,0.3538341390377147,1.300346,0.0,0.0,0.0,0.0,0.0,2760.0,2520.0,4.712046979791293,4.302303764157268,84.0,1395.0,202.71969696969697,307.85859392658443,94776.9138544536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9130434782608696,202.71969696969697,250.82608695652172,150.03174603174602,2378.1428571428573,4.714285714285714,17974.196710939024,431.75,4.5,2782.43665405145,138.0,34614.0,126.0,18904.0,0.0,0.0,138.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,VPN-streaming
443.0,17.0,29.546702,199.0,201.0,60373.0,40347.0,1395.0,84.0,303.3819095477387,419.4319859387388,1385.0,88.0,200.73134328358208,287.85552529951417,3408.84068888636,13.537889947920414,0.0740518847117794,0.1522372350074992,0.95373,0.0,29.500161,0.1489907121212121,0.2272203157861162,1.000711,0.0,29.364774,0.14682387,0.2343782688684109,1.001371,0.0,0.0,0.0,0.0,0.0,3980.0,4020.0,6.735100249090406,6.802789698830008,84.0,1395.0,251.8,363.0338276249198,131793.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0100502512562817,251.8,303.3819095477387,200.73134328358208,3363.5,5.4,35757.87342977913,1865.5,5.4,21748.938784694248,199.0,60373.0,201.0,40347.0,0.0,0.0,199.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,VPN-streaming
67.0,17.0,0.0,2.0,1.0,690.0,342.0,345.0,345.0,345.0,0.0,342.0,342.0,342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,0.0,0.0,342.0,345.0,344.0,1.4142135623730951,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,344.0,345.0,342.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,690.0,1.0,342.0,0.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,VPN-file_transfer
5355.0,17.0,0.410734,3.0,0.0,204.0,0.0,68.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,496.67181192694056,7.303997234219715,0.205367,0.205367,0.410734,0.0,0.410734,0.205367,0.205367,0.410734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,7.303997234219715,0.0,68.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,204.0,0.0,0.0,0.0,0.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,VPN-p2p
443.0,17.0,29.047864,138.0,129.0,35667.0,17424.0,1395.0,84.0,258.45652173913044,386.415056559301,1385.0,88.0,135.06976744186048,138.40112391702715,1827.7075381515144,9.191725766824025,0.1092024962406015,0.1897715012882528,0.887508,0.0,28.999904,0.2116781313868613,0.270067028841674,1.000837,0.0,28.640175,0.2237513671875,0.3110565371976178,1.222855,0.0,0.0,0.0,0.0,0.0,2760.0,2580.0,4.750779609819159,4.440946157004866,84.0,1395.0,198.8426966292135,300.38511730999994,90231.2187013424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9347826086956522,198.8426966292135,258.45652173913044,135.06976744186048,3075.8,5.2,28506.605324668344,553.2,5.0,51668.09877834647,138.0,35667.0,129.0,17424.0,0.0,0.0,138.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,VPN-streaming
67.0,17.0,0.000285,2.0,1.0,702.0,342.0,351.0,351.0,351.0,0.0,342.0,342.0,342.0,0.0,3663157.894736842,10526.315789473683,0.0001425,0.0001425,0.000285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,7017.543859649123,3508.771929824561,342.0,351.0,348.0,4.242640687119285,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,348.0,351.0,342.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,702.0,1.0,342.0,0.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,VPN-file_transfer
49949.0,17.0,29.287462,161.0,178.0,21486.0,52273.0,969.0,88.0,133.45341614906832,110.010612153858,1395.0,84.0,293.6685393258427,423.0144859249631,2518.449703835723,11.574918987517592,0.0866492958579881,0.1747810166195667,0.954042,0.0,29.287462,0.1830466375,0.2902296328715739,1.328453,0.0,29.126975,0.1645591807909604,0.2481413623985694,1.000726,2.9e-05,0.0,0.0,0.0,0.0,3220.0,3560.0,5.497232911475907,6.077686076041686,84.0,1395.0,217.57817109144543,325.7393979759054,106106.15539370524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.105590062111801,217.57817109144543,133.45341614906832,293.6685393258427,490.2,5.4,231575.9637188209,2976.4444444444443,5.0,35665.689415060326,161.0,21486.0,178.0,52273.0,0.0,0.0,161.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,VPN-p2p
443.0,17.0,29.237251,169.0,175.0,47368.0,33229.0,1395.0,84.0,280.28402366863907,405.854685619658,1365.0,88.0,189.88,260.1763850050302,2756.654515843504,11.765812045735764,0.0852397988338192,0.1843870475092098,0.954426,0.0,29.237251,0.1740312559523809,0.2794865342431758,1.001618,0.0,28.94264,0.1663370114942529,0.2948604783044922,1.3495,0.0,0.0,0.0,0.0,0.0,3380.0,3500.0,5.780297196887628,5.985514848848135,84.0,1395.0,234.2936046511628,342.6387740667761,117401.32949398324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0355029585798816,234.2936046511628,280.28402366863907,189.88,3049.25,6.125,21408.72462134975,1448.0,5.9,801993.9075048462,169.0,47368.0,175.0,33229.0,0.0,0.0,169.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,VPN-streaming
443.0,17.0,29.739559,502.0,1203.0,189264.0,1223370.0,1395.0,84.0,377.0199203187251,489.9510378838887,1385.0,88.0,1016.9326683291772,553.2460257810317,47500.166360906696,57.33104515773082,0.0174527928403755,0.1723176017831892,6.753085,0.0,29.739559,0.0593603972055888,0.3179090900935857,6.753193,0.0,29.691073,0.0247013918469218,0.2143149248216547,6.895361,0.0,0.0,0.0,0.0,0.0,10040.0,24060.0,16.87987370626444,40.45117145146638,84.0,1395.0,828.5243401759531,609.6782090707909,371707.518615767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.396414342629482,828.5243401759531,377.0199203187251,1016.9326683291772,3344.3611111111118,5.777777777777778,25298.648106578043,14164.48051948052,12.714285714285714,1035030.0639998784,502.0,189264.0,1203.0,1223370.0,0.0,0.0,502.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,VPN-streaming
