dst_port,protocol,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwr_flag_count,ece_flag_cnt,down_up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min,Destination / Websites,AI_Prediction
49949.0,17.0,29.992799,869.0,1393.0,109017.0,332483.0,1385.0,88.0,125.45109321058688,165.07566759398918,1395.0,84.0,238.68126346015796,159.9950476642411,14720.20000534128,75.41810285862283,0.0132652804068996,0.0239520904404242,0.357923,0.0,29.992799,0.0345539158986175,0.0822038415786153,0.50577,0.0,29.977275,0.0215353987068965,0.033709106161747,0.407498,3.1e-05,0.0,0.0,0.0,0.0,17380.0,27860.0,28.973621301566418,46.44448155705641,84.0,1395.0,195.1812555260831,171.07356146671648,29266.163432906415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6029919447640966,195.1812555260831,125.45109321058688,238.68126346015796,599.5357142857143,5.142857142857143,52304.26017840841,2478.5652173913045,11.652173913043478,13221.61129385876,869.0,109017.0,1393.0,332483.0,0.0,0.0,869.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,VPN-VoIP
443.0,17.0,29.97354,1624.0,1073.0,381815.0,114393.0,1395.0,84.0,235.10775862068965,140.2885663943647,1365.0,88.0,106.61043802423112,86.63531972338579,16554.86806029585,89.97936179710504,0.0111177818991097,0.0225873076694656,1.040942,0.0,29.97354,0.0184679852125693,0.0288178886749507,1.047391,0.0,29.764143,0.0277650587686567,0.0716175791778916,1.044352,0.0,0.0,0.0,0.0,0.0,32480.0,21460.0,54.18112108212777,35.798240714977275,84.0,1395.0,183.9851687059696,137.08603293258582,18792.580425194006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6607142857142857,183.9851687059696,235.10775862068965,106.61043802423112,2703.353846153846,12.815384615384616,13133.574955395638,470.4693877551021,5.36734693877551,98755.96528354909,1624.0,381815.0,1073.0,114393.0,0.0,0.0,1624.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,VPN-VoIP
443.0,17.0,27.557451,1760.0,1241.0,439423.0,180995.0,1395.0,84.0,249.6721590909091,180.6451661215035,1385.0,88.0,145.8460918614021,209.22571968001665,22513.620726387213,108.89976725350976,0.009185817,0.008493355895925,0.096329,0.0,27.557451,0.0156665440591245,0.0091590507624973,0.096329,0.0,27.533617,0.0222045298387096,0.0587970199175073,0.446117,0.0,0.0,0.0,0.0,0.0,35200.0,24820.0,63.866574597193335,45.03319265631644,84.0,1395.0,206.73708763745415,199.6368542200088,39854.87356286104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7051136363636363,206.73708763745415,249.6721590909091,145.8460918614021,2811.27397260274,12.054794520547944,15941.761608042074,1152.517857142857,6.232142857142857,325507.6206134821,1760.0,439423.0,1241.0,180995.0,0.0,0.0,1760.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,VPN-VoIP
49949.0,17.0,29.976363,1147.0,1846.0,227240.0,468012.0,1385.0,88.0,198.11682650392328,334.30166167471106,1395.0,84.0,253.5276273022752,159.33949543515436,23193.340699804045,99.84533480596028,0.0100188379010695,0.0083719869017225,0.042821,0.0,29.682686,0.0259011221640488,0.0903726512451986,2.168037,0.0,29.964003,0.0162406520325203,0.0081661919487247,0.061158,3.1e-05,0.0,0.0,0.0,0.0,22940.0,36920.0,38.26348113011575,61.581853675844535,84.0,1395.0,232.2926829268293,243.33843563341412,59213.59425651724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094158674803836,232.2926829268293,198.11682650392328,253.5276273022752,2154.6938775510203,6.448979591836735,895762.9850847571,3464.8,14.814285714285717,14995.856811504524,1147.0,227240.0,1846.0,468012.0,0.0,0.0,1147.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,VPN-VoIP
49949.0,17.0,29.982478,1202.0,1749.0,123301.0,433752.0,1365.0,88.0,102.57986688851912,83.61946744084439,1395.0,84.0,248.0,125.15364599473212,18579.284874318928,98.42415293359008,0.0101635518644067,0.0077026048899951,0.03783,0.0,29.839577,0.0248456094920899,0.057512184748316,0.42155,0.0,29.980949,0.0171515726544622,0.0074075363402044,0.039132,3.3e-05,0.0,0.0,0.0,0.0,24040.0,34980.0,40.09008194719596,58.33407098639412,84.0,1395.0,188.76753642832935,131.28817823327512,17236.58574381221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4550748752079867,188.76753642832935,102.57986688851912,248.0,501.8611111111111,5.5,189306.14639870913,2798.4406779661017,13.084745762711863,13526.772371918896,1202.0,123301.0,1749.0,433752.0,0.0,0.0,1202.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,VPN-VoIP
443.0,17.0,29.996255,1757.0,1148.0,439636.0,119816.0,1395.0,84.0,250.21969265793967,137.72422850818702,1365.0,88.0,104.36933797909408,79.30858335851957,18650.728232574365,96.8454228702883,0.0103292889118457,0.0078137067106102,0.034204,0.0,29.990713,0.017078993735763,0.0074099872263918,0.047963,0.0,29.631444,0.0258338657367044,0.0607059517626427,0.430159,0.0,0.0,0.0,0.0,0.0,35140.0,22960.0,58.57397865166835,38.27144421861996,84.0,1395.0,192.5824440619621,137.99340015728924,19042.17848696976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6533864541832669,192.5824440619621,250.21969265793967,104.36933797909408,3045.2203389830506,13.610169491525424,13852.861649721708,433.1111111111111,5.083333333333333,130697.91614276852,1757.0,439636.0,1148.0,119816.0,0.0,0.0,1757.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,VPN-VoIP
49949.0,17.0,29.35872,1187.0,1814.0,190245.0,455295.0,1385.0,88.0,160.273799494524,260.2445580686572,1395.0,84.0,250.9895259095921,157.86631470703264,21988.015826303053,102.2183528437207,0.00978624,0.0085047986878232,0.102476,0.0,29.35872,0.0247544013490725,0.0645649990708016,0.430036,0.0,29.312319,0.0161678538334252,0.0089602639714516,0.118547,2.6e-05,0.0,0.0,0.0,0.0,23740.0,36280.0,40.430917969175766,61.787434874544935,84.0,1395.0,215.10829723425525,209.33311049795583,43820.35115074938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.528222409435552,215.10829723425525,160.273799494524,250.9895259095921,1366.8846153846157,5.9423076923076925,644768.5915927357,2874.87012987013,12.662337662337665,15185.15822877938,1187.0,190245.0,1814.0,455295.0,0.0,0.0,1187.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,VPN-VoIP
443.0,17.0,29.979505,1732.0,1180.0,435024.0,124041.0,1395.0,84.0,251.16859122401848,142.98079776144883,1385.0,88.0,105.11949152542373,82.40730874949548,18648.23985586153,97.133024711382,0.0102986963242871,0.0086448590037048,0.122845,0.0,29.979505,0.0173191825534373,0.00976516698992,0.17061,0.0,29.838688,0.0253084715860899,0.0585441268986959,0.421213,0.0,0.0,0.0,0.0,0.0,34640.0,23600.0,57.7728017857533,39.36022292562869,84.0,1395.0,191.98660714285717,141.60577638569768,20052.19590579621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6812933025404158,191.98660714285717,251.16859122401848,105.11949152542373,2856.6349206349205,12.571428571428571,14632.302502170234,459.75,5.2,76885.77090632393,1732.0,435024.0,1180.0,124041.0,0.0,0.0,1732.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,VPN-VoIP
67.0,17.0,1e-06,2.0,1.0,690.0,342.0,345.0,345.0,345.0,0.0,342.0,342.0,342.0,0.0,1032000000.0,3000000.0,5e-07,5e-07,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,2000000.0,1000000.0,342.0,345.0,344.0,1.4142135623730951,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,344.0,345.0,342.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,690.0,1.0,342.0,0.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,VPN-VoIP
5355.0,17.0,0.415336,3.0,0.0,204.0,0.0,68.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,491.168596028276,7.223067588651117,0.207668,0.207668,0.415336,0.0,0.415336,0.207668,0.207668,0.415336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,7.223067588651117,0.0,68.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,204.0,0.0,0.0,0.0,0.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,VPN-VoIP
