src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.147.132,192.168.147.2,45628,53,17,2026-08-20 20:45:02,0.061536,7166.536661466459,48.75195007800312,32.50130005200208,16.25065002600104,2,1,168,273,84,84,84.0,0.0,273,273,273.0,0.0,273,84,147.0,89.09545442950498,7938.0,40,20,20,2,0.030768,0.061536,0.0,0.030768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,147.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.0,273.0,0,2,1,168,273
192.168.147.132,192.168.147.2,48868,53,17,2026-08-20 20:45:02,0.060135,6269.227571297913,49.887752556747316,33.258501704498215,16.629250852249108,2,1,168,209,84,84,84.0,0.0,209,209,209.0,0.0,209,84,125.66666666666667,58.92556509887896,3472.222222222222,40,20,20,2,0.0300675,0.060135,0.0,0.0300675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,125.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.0,209.0,0,2,1,168,209
142.251.157.4,192.168.147.132,443,38166,6,2026-08-20 20:45:02,9.47361,6275.854716417501,8.866736122766294,5.700044650349761,3.1666914724165336,54,30,32143,27312,8260,60,595.2407407407408,1639.2946420718204,6305,54,910.4,1497.6118678304692,8260,54,707.797619047619,1597.297917613799,2551360.6376133785,1080,600,20,54,0.11413987951807228,4.471486,0.0,0.5413455279379958,9.473609999999999,4.471944,0.0,0.17874735849056597,0.6689735892987472,9.472936,4.471795,8.6e-05,0.3266529655172415,0.877268549350472,19,21,0,0,0,0,0,40,84,0,0,0.5555555555555556,707.797619047619,64240,65535,0,0,0,0,0,0,0,0,2503.8,6.2,0,0,15494.67482718715770061451442,0,595.2407407407408,910.4,0,54,30,32143,27312
192.168.147.132,192.168.147.2,45520,53,17,2026-08-20 20:45:02,0.447022,664.3968305810453,6.711079096778235,4.47405273118549,2.237026365592745,2,1,176,121,88,88,88.0,0.0,121,121,121.0,0.0,121,88,99.0,15.556349186104045,242.0,40,20,20,2,0.223511,0.447022,0.0,0.223511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.0,121.0,0,2,1,176,121
192.168.147.132,192.168.147.2,47137,53,17,2026-08-20 20:45:02,0.445189,694.0872303673272,6.738710974440069,4.492473982960046,2.246236991480023,2,1,176,133,88,88,88.0,0.0,133,133,133.0,0.0,133,88,103.0,21.213203435596427,450.0,40,20,20,2,0.2225945,0.445189,0.0,0.2225945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,103.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.0,133.0,0,2,1,176,133
192.168.147.132,142.251.10.119,43249,443,17,2026-08-20 20:45:03,9.943955,8868.905782457785,2.614653827375526,1.0056360874521253,1.6090177399234005,10,16,1690,86502,387,73,169.0,142.72000560538106,23830,72,5406.375,6260.833389763299,23830,72,3392.0,5533.717772403593,30622032.384615384,200,320,20,10,0.3977582,8.694088,0.0,1.6980366929392077,9.943955,8.694088,0.0,1.104883888888889,2.6887121144906883,0.8220259999999999,0.388074,0.0,0.05480173333333333,0.12563788955962113,0,0,0,0,0,0,0,0,0,0,0,1.6,3392.0,0,0,0,0,0,0,0,0,0,0,0,0,29420.0,4.0,0,9394858.693916653361009101070,169.0,5406.375,0,10,16,1690,86502
192.168.147.132,64.233.170.132,39029,443,17,2026-08-20 20:45:03,0.42666,45415.55336802138,37.50058594665542,21.094079594993673,16.406506351661747,9,7,10428,8949,1294,76,1158.6666666666667,382.78047088231773,4087,128,1278.4285714285713,1242.2213809074747,4087,76,1211.0625,872.3875621498452,761060.05859375,180,140,20,9,0.028444000000000004,0.199951,0.0,0.06084061231776025,0.42666,0.205969,0.0,0.05333249999999999,0.07854624075982249,0.054251999999999995,0.038442,0.0,0.009042,0.013947299989603722,0,0,0,0,0,0,0,0,0,0,0,0.7777777777777778,1211.0625,0,0,0,0,0,0,0,0,0,0,7512.0,6.0,6028.0,4.0,46358.63762874827975635795879,5968316.831683168316831683168,1158.6666666666667,1278.4285714285713,0,9,7,10428,8949
192.168.147.132,64.233.170.156,35438,443,6,2026-08-20 20:45:05,0.363319,1081.6940484808117,13.762010794921267,8.25720647695276,5.504804317968507,3,2,240,153,93,54,80.0,18.384776310850235,93,60,76.5,16.5,93,54,78.6,17.738094598913378,314.64,60,40,20,2,0.09082974999999999,0.362807,0.0,0.15702623632911636,0.363319,0.363319,0.0,0.1816595,0.1816595,0,0,0,0,0,2,1,0,0,0,0,0,3,5,0,0,0.6666666666666666,78.6,62250,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,76.5,0,3,2,240,153
192.168.147.132,74.125.24.102,33098,443,6,2026-08-20 20:45:05,0.351815,1117.0643662151983,14.21201483734349,8.527208902406095,5.684805934937396,3,2,240,153,93,54,80.0,18.384776310850235,93,60,76.5,16.5,93,54,78.6,17.738094598913378,314.64,60,40,20,2,0.08795375,0.351432,0.0,0.15211929249502676,0.351815,0.351815,0.0,0.1759075,0.1759075,0,0,0,0,0,2,1,0,0,0,0,0,3,5,0,0,0.6666666666666666,78.6,62250,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,76.5,0,3,2,240,153
192.168.147.132,172.253.118.101,41122,443,6,2026-08-20 20:45:11,0.041963,9365.393322689035,119.15258680265948,71.49155208159569,47.66103472106379,3,2,240,153,93,54,80.0,18.384776310850235,93,60,76.5,16.5,93,54,78.6,17.738094598913378,314.64,60,40,20,2,0.01049075,0.041517,0.0,0.017913687314104264,0.041963,0.041963,0.0,0.0209815,0.0209815,0,0,0,0,0,2,1,0,0,0,0,0,3,5,0,0,0.6666666666666666,78.6,65535,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,76.5,0,3,2,240,153
